,time,ID,Sec,X,Y,Contact_count,Vertex,Speed,Sit,exit,STUCK,Chair,group,groupedP,totalP,Contact_sec,Contact_IDs,Contact_Pop
0,0,0,0,13.128545836777747,9.586079224813439,0,"[13.128545836777747, 9.586079224813439]",0.6630536512963909,0,,,[],0.0,0.0,1.0,0.0,[],0
1,1,0,1,12.521560661619365,9.31922881421712,1,"[[13.128545836777747, 9.586079224813439], [12.521560661619365, 9.31922881421712]]",0.6630536512963909,0,,,[],0.0,0.0,2.0,1.0,[1],1
2,1,1,0,13.26179579964666,9.412026677642451,1,"[13.26179579964666, 9.412026677642451]",1.2346537087587128,0,,,[],0.0,0.0,2.0,1.0,[0],1
3,2,0,2,11.914575486460983,9.0523784036208,1,"[[12.521560661619365, 9.31922881421712], [11.914575486460983, 9.0523784036208]]",0.6630536512963909,0,,,[],0.0,0.0,2.0,0.9,[1],1
4,2,1,1,13.590775724364143,8.392100324854887,1,"[[13.26179579964666, 9.412026677642451], [13.590775724364143, 8.392100324854887]]",1.2346537087587128,0,,,[],0.0,0.0,2.0,0.9,[0],1
5,3,0,3,11.3075903113026,8.78552799302448,0,"[[11.914575486460983, 9.0523784036208], [11.3075903113026, 8.78552799302448]]",0.6630536512963909,0,,,[],0.0,0.0,2.0,0.0,[],0
6,3,1,2,13.590775724364143,8.392100324854887,0,"[13.590775724364143, 8.392100324854887]",1.2346537087587128,0,,,[],0.0,0.0,2.0,0.0,[],0
7,4,0,4,10.700605136144219,8.518677582428161,0,"[[11.3075903113026, 8.78552799302448], [10.700605136144219, 8.518677582428161]]",0.6630536512963909,0,,,[],0.0,0.0,2.0,0.0,[],0
8,4,1,3,13.590775724364143,8.392100324854887,0,"[13.590775724364143, 8.392100324854887]",1.2346537087587128,0,,,[],0.0,0.0,2.0,0.0,[],0
9,5,0,5,10.093619960985837,8.251827171831842,0,"[[10.700605136144219, 8.518677582428161], [10.093619960985837, 8.251827171831842]]",0.6630536512963909,0,,,[],0.0,0.0,3.0,0.0,[],0
10,5,1,4,13.590775724364143,8.392100324854887,0,"[13.590775724364143, 8.392100324854887]",1.2346537087587128,0,,,[],0.0,0.0,3.0,0.0,[],0
11,5,2,0,13.331694258448596,1.1020384107433077,0,"[13.331694258448596, 1.1020384107433077]",0.5252932796830476,0,,,[],0.0,0.0,3.0,0.0,[],0
12,6,0,6,9.486634785827455,7.984976761235522,0,"[[10.093619960985837, 8.251827171831842], [9.486634785827455, 7.984976761235522]]",0.6630536512963909,0,,,[],0.0,0.0,3.0,0.0,[],0
13,6,1,5,13.590775724364143,8.392100324854887,0,"[13.590775724364143, 8.392100324854887]",1.2346537087587128,0,,,[],0.0,0.0,3.0,0.0,[],0
