,time,ID,Sec,X,Y,Contact_count,Vertex,Speed,Sit,exit,STUCK,Chair,group,groupedP,totalP,Contact_sec,Contact_IDs,Contact_Pop
0,0,0,0,16.64510347406813,19.457451167770557,0,"[16.64510347406813, 19.457451167770557]",1.4531139283375378,0,,,[],0.0,0.0,1.0,0.0,[],0
1,1,0,1,17.672610186632227,18.42994445520646,0,"[[16.64510347406813, 19.457451167770557], [17.352210255254676, 18.75034438658401], [17.672610186632227, 18.42994445520646]]",1.4531139283375378,0,,,[],0.0,0.0,2.0,0.0,[],0
2,1,1,0,16.88004084293762,1.354868157193398,0,"[16.88004084293762, 1.354868157193398]",0.726104231708951,0,,,[],0.0,0.0,2.0,0.0,[],0
3,2,0,2,18.700116899196324,17.402437742642363,0,"[[17.672610186632227, 18.42994445520646], [18.379716967818773, 17.722837674019914], [18.700116899196324, 17.402437742642363]]",1.4531139283375378,0,,,[],0.0,0.0,2.0,0.0,[],0
4,2,1,1,17.39347406902727,1.8683013832830455,0,"[[16.88004084293762, 1.354868157193398], [17.39347406902727, 1.8683013832830455]]",0.726104231708951,0,,,[],0.0,0.0,2.0,0.0,[],0
5,3,0,3,19.72762361176042,16.374931030078265,0,"[[18.700116899196324, 17.402437742642363], [19.40722368038287, 16.695330961455817], [19.72762361176042, 16.374931030078265]]",1.4531139283375378,0,,,[],0.0,0.0,3.0,0.0,[],0
6,3,1,2,18.119578300736222,1.8683013832830455,0,"[[17.39347406902727, 1.8683013832830455], [18.119578300736222, 1.8683013832830455]]",0.726104231708951,0,,,[],0.0,0.0,3.0,0.0,[],0
7,3,2,0,15.673867605405286,1.2401263201122994,0,"[15.673867605405286, 1.2401263201122994]",0.8460752873668438,0,,,[],0.0,0.0,3.0,0.0,[],0
8,4,0,4,20.755130324324515,15.347424317514168,0,"[[19.72762361176042, 16.374931030078265], [20.434730392946967, 15.667824248891717], [20.755130324324515, 15.347424317514168]]",1.4531139283375378,0,,,[],0.0,0.0,3.0,0.0,[],0
9,4,1,3,18.633011526825868,2.381734609372693,0,"[[18.119578300736222, 1.8683013832830455], [18.633011526825868, 2.381734609372693]]",0.726104231708951,0,,,[],0.0,0.0,3.0,0.0,[],0
10,4,2,1,15.673867605405286,2.0862016074791434,0,"[[15.673867605405286, 1.2401263201122994], [15.673867605405286, 2.0862016074791434]]",0.8460752873668438,0,,,[],0.0,0.0,3.0,0.0,[],0
11,5,0,5,21.78263703688861,14.31991760495007,0,"[[20.755130324324515, 15.347424317514168], [21.46223710551106, 14.64031753632762], [21.78263703688861, 14.31991760495007]]",1.4531139283375378,0,,,[],0.0,0.0,4.0,0.0,[],0
12,5,1,4,19.146444752915514,2.8951678354623405,0,"[[18.633011526825868, 2.381734609372693], [19.146444752915514, 2.8951678354623405]]",0.726104231708951,0,,,[],0.0,0.0,4.0,0.0,[],0
13,5,2,2,15.673867605405286,2.9322768948459874,1,"[[15.673867605405286, 2.0862016074791434], [15.673867605405286, 2.9322768948459874]]",0.8460752873668438,0,,,[],0.0,0.0,4.0,1.0,[3],1
14,5,3,0,15.144338945733228,1.4007796130664125,1,"[15.144338945733228, 1.4007796130664125]",0.8610637992869076,0,,,[],0.0,0.0,4.0,1.0,[2],1
15,6,0,6,22.223992667105417,13.217363035430235,0,"[[21.78263703688861, 14.31991760495007], [21.78263703688861, 13.31991760495007], [22.223992667105417, 13.217363035430235]]",1.4531139283375378,0,,,[],0.0,0.0,4.0,0.0,[],0
16,6,1,5,19.872548984624466,2.8951678354623405,0,"[[19.146444752915514, 2.8951678354623405], [19.872548984624466, 2.8951678354623405]]",0.726104231708951,0,,,[],0.0,0.0,4.0,0.0,[],0
17,6,2,3,15.673867605405286,3.7783521822128314,1,"[[15.673867605405286, 2.9322768948459874], [15.673867605405286, 3.7783521822128314]]",0.8460752873668438,0,,,[],0.0,0.0,4.0,0.1,[3],1
18,6,3,1,14.294149868288368,1.5371958842215125,1,"[[15.144338945733228, 1.4007796130664125], [14.294149868288368, 1.5371958842215125]]",0.8610637992869076,0,,,[],0.0,0.0,4.0,0.1,[2],1
19,7,0,7,23.639398315683238,12.888475609853408,0,"[[22.223992667105417, 13.217363035430235], [23.639398315683238, 12.888475609853408]]",1.4531139283375378,0,,,[],0.0,0.0,5.0,0.0,[],0
20,7,1,6,20.38598221071411,3.408601061551988,0,"[[19.872548984624466, 2.8951678354623405], [20.38598221071411, 3.408601061551988]]",0.726104231708951,0,,,[],0.0,0.0,5.0,0.0,[],0
21,7,2,4,15.673867605405286,4.624427469579675,0,"[[15.673867605405286, 3.7783521822128314], [15.673867605405286, 4.624427469579675]]",0.8460752873668438,0,,,[],0.0,0.0,5.0,0.0,[],0
22,7,3,2,13.443960790843509,1.6736121553766123,0,"[[14.294149868288368, 1.5371958842215125], [13.443960790843509, 1.6736121553766123]]",0.8610637992869076,0,,,[],0.0,0.0,5.0,0.0,[],0
23,7,4,0,15.321127345246534,19.11199396186949,0,"[15.321127345246534, 19.11199396186949]",1.4238676645348924,0,,,[],0.0,0.0,5.0,0.0,[],0
24,8,0,8,25.05480396426106,12.559588184276581,0,"[[23.639398315683238, 12.888475609853408], [25.05480396426106, 12.559588184276581]]",1.4531139283375378,0,,,[],0.0,0.0,5.0,0.0,[],0
25,8,1,7,21.112086442423063,3.408601061551988,0,"[[20.38598221071411, 3.408601061551988], [21.112086442423063, 3.408601061551988]]",0.726104231708951,0,,,[],0.0,0.0,5.0,0.0,[],0
26,8,2,5,15.673867605405286,5.470502756946519,0,"[[15.673867605405286, 4.624427469579675], [15.673867605405286, 5.470502756946519]]",0.8460752873668438,0,,,[],0.0,0.0,5.0,0.0,[],0
27,8,3,3,12.608275100817496,1.8811218995529981,0,"[[13.443960790843509, 1.6736121553766123], [12.608275100817496, 1.8811218995529981]]",0.8610637992869076,0,,,[],1.0,2.0,5.0,0.0,[],0
28,8,4,1,15.321127345246534,17.6881262973346,0,"[[15.321127345246534, 19.11199396186949], [15.321127345246534, 18.11199396186949], [15.321127345246534, 17.6881262973346]]",1.4238676645348924,0,,,[],1.0,2.0,5.0,0.0,[],0
29,9,0,9,26.47020961283888,12.230700758699756,0,"[[25.05480396426106, 12.559588184276581], [26.47020961283888, 12.230700758699756]]",1.4531139283375378,0,,,[],0.0,0.0,6.0,0.0,[],0
30,9,1,8,21.62551966851271,3.9220342876416354,0,"[[21.112086442423063, 3.408601061551988], [21.62551966851271, 3.9220342876416354]]",0.726104231708951,0,,,[],0.0,0.0,6.0,0.0,[],0
31,9,2,6,15.673867605405286,6.3165780443133634,0,"[[15.673867605405286, 5.470502756946519], [15.673867605405286, 6.3165780443133634]]",0.8460752873668438,0,,,[],0.0,0.0,6.0,0.0,[],0
32,9,3,4,11.772589410791483,2.0886316437293844,0,"[[12.608275100817496, 1.8811218995529981], [11.772589410791483, 2.0886316437293844]]",0.8610637992869076,0,,,[],1.0,2.0,6.0,0.0,[],0
33,9,4,2,15.321127345246534,16.264258632799706,0,"[[15.321127345246534, 17.6881262973346], [15.321127345246534, 16.6881262973346], [15.321127345246534, 16.264258632799706]]",1.4238676645348924,0,,,[],1.0,2.0,6.0,0.0,[],0
34,9,5,0,16.707298461512757,19.178853902438878,0,"[16.707298461512757, 19.178853902438878]",0.716077026585695,0,,,[],0.0,0.0,6.0,0.0,[],0
35,10,0,10,26.801403612627393,12.15374363897483,0,"[[26.47020961283888, 12.230700758699756], [26.801403612627393, 12.15374363897483]]",1.4531139283375378,0,,,[],0.0,0.0,6.0,0.0,[],0
36,10,1,9,22.330749426152195,4.094887821725836,0,"[[21.62551966851271, 3.9220342876416354], [22.330749426152195, 4.094887821725836]]",0.726104231708951,0,,,[],0.0,0.0,6.0,0.0,[],0
37,10,2,7,15.673867605405286,7.1626533316802075,0,"[[15.673867605405286, 6.3165780443133634], [15.673867605405286, 7.1626533316802075]]",0.8460752873668438,0,,,[],0.0,0.0,6.0,0.0,[],0
38,10,3,5,10.93690372076547,2.29614138790577,0,"[[11.772589410791483, 2.0886316437293844], [10.93690372076547, 2.29614138790577]]",0.8610637992869076,0,,,[],1.0,2.0,6.0,0.0,[],0
39,10,4,3,14.321127345246534,15.840390968264813,0,"[[15.321127345246534, 16.264258632799706], [14.321127345246534, 16.264258632799706], [14.321127345246534, 15.840390968264813]]",1.4238676645348924,0,,,[],1.0,2.0,6.0,0.0,[],0
40,10,5,1,17.2136413828634,18.672510981088234,0,"[[16.707298461512757, 19.178853902438878], [17.2136413828634, 18.672510981088234]]",0.716077026585695,0,,,[],0.0,0.0,6.0,0.0,[],0
