,ID,speed,activity,G_proportion,G_size,G_duration,stayTime,population,stay_Ent,distance,enter_Interval,spaceArea,obstacles,FDD,aspectRatio,entrances,contact_sec,contact_AC,contact_IIC,contact_IDs,contact_NG,contact_Ent
0,0,1.2716538602571759,0.12,0.4,2.0,186.0,322,90,4,8.915853105863441,3,25,4,0.72,1.0,1.0,3769.7,319,3828,68,1242,83
1,1,1.1830344499400096,0.12,0.4,2.0,286.0,466,90,466,6.836263222716851,3,25,4,0.72,1.0,1.0,5505.2,466,5549,47,1518,5549
2,2,0.7487454199375615,0.12,0.4,2.0,213.0,263,90,263,6.385011736597753,3,25,4,0.72,1.0,1.0,2852.9,263,2910,89,306,2910
3,3,1.1358467481718388,0.12,0.4,2.0,259.0,322,90,262,11.295046334501812,3,25,4,0.72,1.0,1.0,3150.5,323,3195,52,215,3053
4,4,1.2522834478524216,0.12,0.4,2.8244972577696528,547.0,739,90,739,7.40329873318516,3,25,4,0.72,1.0,1.0,10444.6,738,10538,84,1734,10538
5,5,1.4791023267490262,0.12,0.4,2.921311475409836,305.0,609,90,484,16.47529996183155,3,25,4,0.72,1.0,1.0,6197.6,512,6276,75,2180,5909
6,6,0.7802170857037806,0.12,0.4,3.0,281.0,291,90,290,4.710337543942878,3,25,4,0.72,1.0,1.0,2724.8,290,2763,51,121,2763
7,7,1.4227093645407647,0.12,0.4,2.0,46.0,514,90,241,8.198930032234554,3,25,4,0.72,1.0,1.0,2529.3,242,2571,57,1772,2571
8,8,0.5510693723058899,0.12,0.4,,0.0,17,90,17,2.93859153056843,3,25,4,0.72,1.0,1.0,15.0,14,19,6,19,19
9,9,0.9670051285299374,0.12,0.4,2.0,302.0,386,90,17,9.651008848241384,3,25,4,0.72,1.0,1.0,6483.2,387,6538,64,1946,166
10,10,1.4788747571728889,0.12,0.4,,0.0,653,90,653,13.616677663472762,3,25,4,0.72,1.0,1.0,10971.3,654,11060,80,11060,11060
11,11,0.6092160357356675,0.12,0.4,2.0,213.0,336,90,246,2.4599716506716236,3,25,4,0.72,1.0,1.0,4779.6,247,4812,84,369,4812
12,12,1.4090238267517288,0.12,0.4,2.0,294.0,562,90,496,15.65471833843821,3,25,4,0.72,1.0,1.0,7429.6,562,7518,68,2627,6803
13,13,1.2078495531145814,0.12,0.4,,0.0,223,90,223,3.6272100211291116,3,25,4,0.72,1.0,1.0,3040.7,224,3077,73,3077,3077
14,14,0.762852595708239,0.12,0.4,2.0,9.0,335,90,335,4.663882790103887,3,25,4,0.72,1.0,1.0,8123.5,336,8185,85,8032,8185
15,15,0.7362433400338743,0.12,0.4,2.0,9.0,224,90,224,2.6568638131445557,3,25,4,0.72,1.0,1.0,2905.0,225,2945,73,2764,2945
