,ID,speed,activity,G_proportion,G_size,G_duration,stayTime,population,stay_Ent,distance,enter_Interval,spaceArea,obstacles,FDD,aspectRatio,entrances,contact_sec,contact_AC,contact_IIC,contact_IDs,contact_NG,contact_Ent
0,0,1.3700664791612538,0.08,0.3,,0.0,65,90,65,2.6287681008329873,3,25,1,0.6799999999999999,1.0,2.0,222.2,62,231,15,231,231
1,1,0.9339584313937637,0.08,0.3,,0.0,323,90,323,9.33440451857886,3,25,1,0.6799999999999999,1.0,2.0,3372.2,316,3441,74,3441,3441
2,2,1.4426860823867245,0.08,0.3,,0.0,27,90,27,4.735775958140383,3,25,1,0.6799999999999999,1.0,2.0,60.9,28,65,8,65,65
3,3,1.211329434667718,0.08,0.3,2.0,213.0,321,90,321,10.551759304055613,3,25,1,0.6799999999999999,1.0,2.0,2282.8,321,2318,48,665,2318
4,4,1.008828178258148,0.08,0.3,,0.0,257,90,257,9.941321453637103,3,25,1,0.6799999999999999,1.0,2.0,2972.7,257,3040,77,3040,3040
5,5,1.2155060678900576,0.08,0.3,2.867368421052632,475.0,736,90,736,12.190174785343219,3,25,1,0.6799999999999999,1.0,2.0,10759.6,731,10856,84,4518,10856
6,6,0.7763810985209745,0.08,0.3,2.6465256797583083,331.0,733,90,640,12.151697061991362,3,25,1,0.6799999999999999,1.0,2.0,8641.8,641,8725,80,4948,8725
7,7,1.1643828869179627,0.08,0.3,2.0,212.0,350,90,349,7.794078065496159,3,25,1,0.6799999999999999,1.0,2.0,3461.3,350,3511,59,1377,3511
8,8,0.6048954406759519,0.08,0.3,,0.0,324,90,324,9.376119670832356,3,25,1,0.6799999999999999,1.0,2.0,3736.3,322,3796,74,3796,3796
9,9,0.8580128553682445,0.08,0.3,2.7133333333333334,300.0,724,90,594,7.169119652012511,3,25,1,0.6799999999999999,1.0,2.0,5701.4,595,5751,61,2946,5751
10,10,1.271067029928678,0.08,0.3,2.0,26.0,553,90,553,6.7609258941034565,3,25,1,0.6799999999999999,1.0,2.0,10569.7,554,10653,86,10376,10653
11,11,0.8692482030380491,0.08,0.3,,0.0,322,90,322,9.355222283109695,3,25,1,0.6799999999999999,1.0,2.0,5646.2,323,5733,84,5733,5733
12,12,1.3393713753946048,0.08,0.3,2.0,1.0,715,90,490,15.053452926233943,3,25,1,0.6799999999999999,1.0,2.0,4802.5,491,4862,64,4849,4862
13,13,0.7345690810045793,0.08,0.3,2.0,6.0,530,90,530,8.210652799831724,3,25,1,0.6799999999999999,1.0,2.0,9869.5,531,9937,80,9876,9937
14,14,0.8434051652374822,0.08,0.3,2.0,221.0,598,90,598,8.601263914821436,3,25,1,0.6799999999999999,1.0,2.0,8568.0,599,8637,77,4393,8637
15,15,0.9046233438394332,0.08,0.3,,0.0,32,90,32,11.455896783043833,3,25,1,0.6799999999999999,1.0,2.0,147.9,33,170,20,170,170
16,16,0.9700570608731622,0.08,0.3,2.0,301.0,555,90,555,20.746124947482933,3,25,1,0.6799999999999999,1.0,2.0,5023.1,556,5126,77,2583,5126
17,17,1.0906714488696876,0.08,0.3,,0.0,321,90,321,8.007626172830065,3,25,1,0.6799999999999999,1.0,2.0,5303.5,322,5372,69,5372,5372
18,18,0.6114055773521994,0.08,0.3,,0.0,323,90,323,5.267355664637569,3,25,1,0.6799999999999999,1.0,2.0,6510.8,324,6575,81,6575,6575
19,19,0.8895216290699414,0.08,0.3,,0.0,78,90,78,2.0756564052275968,3,25,1,0.6799999999999999,1.0,2.0,803.0,79,816,30,816,816
20,20,0.5430659634506125,0.08,0.3,2.0,209.0,240,90,240,8.82538307148206,3,25,1,0.6799999999999999,1.0,2.0,3879.5,241,3946,77,336,3946
21,21,0.563998129604097,0.08,0.3,2.0,127.0,688,90,688,3.6920288369387975,3,25,1,0.6799999999999999,1.0,2.0,9687.2,689,9752,78,8010,9752
22,22,1.3397138428070836,0.08,0.3,2.0,208.0,322,90,321,9.346404367232429,3,25,1,0.6799999999999999,1.0,2.0,3884.0,322,3946,80,1624,3946
23,23,0.606873075105226,0.08,0.3,2.0,196.0,643,90,516,11.644332656670318,3,25,1,0.6799999999999999,1.0,2.0,5591.9,517,5646,61,3653,5646
24,24,1.0031629902478583,0.08,0.3,2.0,126.0,226,90,225,10.990418197996489,3,25,1,0.6799999999999999,1.0,2.0,3293.9,226,3359,77,1541,3359
25,25,1.0485082060063755,0.08,0.3,2.0,154.0,346,90,346,6.670351642708081,3,25,1,0.6799999999999999,1.0,2.0,7224.1,347,7277,73,3217,7277
