,ID,speed,activity,G_proportion,G_size,G_duration,stayTime,population,stay_Ent,distance,enter_Interval,spaceArea,obstacles,FDD,aspectRatio,entrances,contact_sec,contact_AC,contact_IIC,contact_IDs,contact_NG,contact_Ent
0,0,1.288533025139791,0.13,0.8,3.0,248.0,255,40,3,10.436837066851337,1,250,35,0.9754285714285714,2.5,1.0,864.1,254,895,27,13,4
1,1,1.0755767288405165,0.13,0.8,2.718840579710145,345.0,356,40,5,11.28790153087919,1,250,35,0.9754285714285714,2.5,1.0,989.6,356,1024,28,15,9
2,2,0.9864910196257917,0.13,0.8,2.0,78.0,340,40,3,68.32940451844534,1,250,35,0.9754285714285714,2.5,1.0,173.2,115,204,18,86,10
3,3,0.8623205930008452,0.13,0.8,2.5265392781316347,471.0,741,40,5,23.704698367918287,1,250,35,0.9754285714285714,2.5,1.0,995.7,367,1036,28,15,11
4,4,0.5944197753416041,0.13,0.8,2.0,268.0,537,40,7,26.734262221107155,1,250,35,0.9754285714285714,2.5,1.0,1113.5,260,1142,23,130,15
5,5,1.3795588973910102,0.13,0.8,2.0,330.0,633,40,3,36.39802017137967,1,250,35,0.9754285714285714,2.5,1.0,657.1,345,666,9,20,10
6,6,1.2707901752561024,0.13,0.8,2.0,453.0,479,40,3,20.70443544007446,1,250,35,0.9754285714285714,2.5,1.0,678.9,370,696,14,19,8
7,7,1.217291943885575,0.13,0.8,2.0,539.0,615,40,2,27.36745995229416,1,250,35,0.9754285714285714,2.5,1.0,1021.5,331,1055,23,209,6
8,8,1.3920246449754348,0.13,0.8,2.167202572347267,311.0,336,40,2,47.55577116123226,1,250,35,0.9754285714285714,2.5,1.0,924.1,317,963,30,30,7
9,9,1.4207893467632846,0.13,0.8,2.0,305.0,321,40,292,34.01712096986928,1,250,35,0.9754285714285714,2.5,1.0,273.6,192,313,30,35,215
10,10,0.8191477337248331,0.13,0.8,2.183606557377049,305.0,342,40,257,49.64190663864798,1,250,35,0.9754285714285714,2.5,1.0,600.6,300,628,22,67,541
11,11,0.6792265867482637,0.13,0.8,2.0,19.0,35,40,6,17.96936092911391,1,250,35,0.9754285714285714,2.5,1.0,158.4,36,178,18,77,17
12,12,1.2891398975424044,0.13,0.8,2.0,483.0,654,40,3,49.783074076999604,1,250,35,0.9754285714285714,2.5,1.0,298.2,283,312,11,14,6
13,13,0.945871271154075,0.13,0.8,2.1171548117154813,478.0,545,40,254,33.175386903110486,1,250,35,0.9754285714285714,2.5,1.0,671.0,343,702,22,17,545
14,14,0.6061649240065402,0.13,0.8,2.3846153846153846,299.0,330,40,3,33.72391428209802,1,250,35,0.9754285714285714,2.5,1.0,859.6,230,890,26,69,14
15,15,0.6488108202019368,0.13,0.8,2.0,23.0,54,40,9,33.63375550612036,1,250,35,0.9754285714285714,2.5,1.0,160.0,47,184,22,66,31
16,16,0.7481310617024081,0.13,0.8,2.0,330.0,646,40,4,40.38040505080509,1,250,35,0.9754285714285714,2.5,1.0,231.5,146,263,27,144,22
17,17,1.4335187316332796,0.13,0.8,2.0,184.0,329,40,1,43.02856285653466,1,250,35,0.9754285714285714,2.5,1.0,49.3,24,66,15,31,7
18,18,0.6505348431775827,0.13,0.8,2.0,328.0,583,40,7,70.3432400563635,1,250,35,0.9754285714285714,2.5,1.0,394.2,294,424,25,336,15
19,19,1.1684170149278383,0.13,0.8,2.0,99.0,221,40,4,26.7566435396367,1,250,35,0.9754285714285714,2.5,1.0,535.7,114,565,24,48,14
20,20,0.665755385056459,0.13,0.8,2.0,35.0,344,40,39,20.392750566993826,1,250,35,0.9754285714285714,2.5,1.0,111.8,60,124,12,40,58
21,21,1.0117117359789454,0.13,0.8,2.1432506887052343,363.0,468,40,109,49.8653305355751,1,250,35,0.9754285714285714,2.5,1.0,566.0,317,597,25,42,77
22,22,0.6054174898918917,0.13,0.8,2.0,299.0,353,40,3,31.05056927085713,1,250,35,0.9754285714285714,2.5,1.0,609.0,310,629,18,74,15
23,23,0.7208805759951971,0.13,0.8,2.0,413.0,726,40,5,53.95893763952451,1,250,35,0.9754285714285714,2.5,1.0,371.5,313,397,22,60,21
24,24,0.8926633157967291,0.13,0.8,2.0,382.0,625,40,3,64.44559223663089,1,250,35,0.9754285714285714,2.5,1.0,1428.3,345,1460,26,71,9
25,25,1.4341933844311756,0.13,0.8,2.085626911314985,654.0,724,40,14,38.87113502539115,1,250,35,0.9754285714285714,2.5,1.0,532.3,276,565,24,59,35
