,ID,speed,activity,G_proportion,G_size,G_duration,stayTime,population,stay_Ent,distance,enter_Interval,spaceArea,obstacles,FDD,aspectRatio,entrances,contact_sec,contact_AC,contact_IIC,contact_IDs,contact_NG,contact_Ent
25,25,1.311068391164551,0.1,0.7,2.0,349.0,442,50,3,52.44251171299435,5,300,5,0.9297619047619048,3.0,2.0,171.9,173,199,20,35,2
26,26,1.165461676781945,0.1,0.7,2.0,172.0,333,50,5,39.38964752034542,5,300,5,0.9297619047619048,3.0,2.0,43.9,45,58,12,40,6
27,27,1.3300224712671507,0.1,0.7,,0.0,160,50,5,11.972447008329672,5,300,5,0.9297619047619048,3.0,2.0,85.2,80,90,4,90,6
28,28,1.4161225959759376,0.1,0.7,2.0,98.0,132,50,84,52.181680652003806,5,300,5,0.9297619047619048,3.0,2.0,49.3,42,67,20,38,14
29,29,0.8806120519264617,0.1,0.7,2.6014669926650367,409.0,608,50,2,29.790401614479666,5,300,5,0.9297619047619048,3.0,2.0,401.8,296,435,26,213,0
30,30,1.2674653525347697,0.1,0.7,2.0,217.0,351,50,4,35.82354102493393,5,300,5,0.9297619047619048,3.0,2.0,317.0,295,334,20,98,2
31,31,0.508568326243618,0.1,0.7,2.0,302.0,598,50,120,50.3556449092024,5,300,5,0.9297619047619048,3.0,2.0,529.2,337,551,23,250,4
32,32,0.9931694486123778,0.1,0.7,2.8945454545454545,275.0,337,50,4,46.00561596172882,5,300,5,0.9297619047619048,3.0,2.0,170.7,147,192,22,75,9
33,33,0.7233886711058416,0.1,0.7,,0.0,331,50,7,26.051330163662655,5,300,5,0.9297619047619048,3.0,2.0,122.2,84,137,14,137,8
34,34,0.7336572936659419,0.1,0.7,2.0,338.0,583,50,231,48.823386370568464,5,300,5,0.9297619047619048,3.0,2.0,291.3,213,317,27,247,28
35,35,0.7369026682900256,0.1,0.7,2.6657381615598887,359.0,578,50,3,20.83801967204123,5,300,5,0.9297619047619048,3.0,2.0,886.7,561,919,27,516,2
36,36,1.3050748480389058,0.1,0.7,,0.0,213,50,4,40.570662104702784,5,300,5,0.9297619047619048,3.0,2.0,307.0,196,333,23,333,9
37,37,0.917930123534178,0.1,0.7,2.0,469.0,568,50,2,46.54066773194588,5,300,5,0.9297619047619048,3.0,2.0,824.1,360,852,21,78,7
38,38,0.8422212375068621,0.1,0.7,2.0,268.0,563,50,3,37.03441886063739,5,300,5,0.9297619047619048,3.0,2.0,421.7,274,446,20,289,8
39,39,1.0119701652116135,0.1,0.7,2.0,129.0,455,50,110,80.76006264695053,5,300,5,0.9297619047619048,3.0,2.0,164.9,116,190,26,162,17
40,40,0.9847855729547778,0.1,0.7,2.0,42.0,62,50,7,18.93661548418128,5,300,5,0.9297619047619048,3.0,2.0,82.8,57,97,9,39,20
41,41,0.5279645862812808,0.1,0.7,2.4543726235741445,526.0,548,50,5,43.05375045894411,5,300,5,0.9297619047619048,3.0,2.0,410.2,292,434,22,3,3
42,42,0.6366550565033737,0.1,0.7,2.3706896551724137,232.0,505,50,38,57.06573584110008,5,300,5,0.9297619047619048,3.0,2.0,505.4,250,520,18,42,5
43,43,1.4087284513052085,0.1,0.7,2.0,175.0,337,50,3,52.4124753894326,5,300,5,0.9297619047619048,3.0,2.0,337.0,213,361,25,266,9
44,44,1.2922636538359629,0.1,0.7,3.0,95.0,339,50,1,46.117217302626706,5,300,5,0.9297619047619048,3.0,2.0,269.2,225,284,14,191,1
45,45,0.5236042657867103,0.1,0.7,2.2155388471177946,399.0,528,50,4,24.37989749632657,5,300,5,0.9297619047619048,3.0,2.0,658.4,388,683,26,52,8
46,46,1.4269748722744817,0.1,0.7,2.0,163.0,191,50,3,36.1562682815791,5,300,5,0.9297619047619048,3.0,2.0,52.7,41,67,11,44,0
47,47,1.1809076900920128,0.1,0.7,2.0,333.0,518,50,2,16.638044163218204,5,300,5,0.9297619047619048,3.0,2.0,419.4,331,435,17,148,5
48,48,0.8341471746861734,0.1,0.7,,0.0,283,50,6,28.728530045767723,5,300,5,0.9297619047619048,3.0,2.0,569.6,272,587,20,587,8
49,49,0.6635061305255481,0.1,0.7,2.0,181.0,348,50,10,64.25897402010028,5,300,5,0.9297619047619048,3.0,2.0,179.9,143,203,21,183,15
