,ID,speed,activity,G_proportion,G_size,G_duration,stayTime,population,stay_Ent,distance,enter_Interval,spaceArea,obstacles,FDD,aspectRatio,entrances,contact_sec,contact_AC,contact_IIC,contact_IDs,contact_NG,contact_Ent
0,0,0.9241627431601676,0.1,0.7,2.0,176.0,256,50,7,48.34429676425538,5,300,5,0.9297619047619048,3.0,2.0,181.6,167,196,13,32,6
1,1,0.7300897256553768,0.1,0.7,3.0,263.0,338,50,9,64.97007224059767,5,300,5,0.9297619047619048,3.0,2.0,733.1,299,764,24,122,5
2,2,0.7498080276235639,0.1,0.7,2.0,175.0,208,50,7,28.847040802011552,5,300,5,0.9297619047619048,3.0,2.0,16.5,22,22,6,5,2
3,3,1.1851620700233496,0.1,0.7,2.504297994269341,349.0,416,50,4,58.63543749964398,5,300,5,0.9297619047619048,3.0,2.0,815.5,399,844,30,109,2
4,4,1.3000172356617568,0.1,0.7,2.8036529680365296,219.0,325,50,5,34.28200549643976,5,300,5,0.9297619047619048,3.0,2.0,488.4,238,503,15,65,3
5,5,1.3096255937259162,0.1,0.7,2.0,246.0,288,50,241,35.37657823474892,5,300,5,0.9297619047619048,3.0,2.0,52.5,65,72,19,11,57
6,6,0.8973234843494178,0.1,0.7,2.0,246.0,344,50,39,28.990054645892894,5,300,5,0.9297619047619048,3.0,2.0,223.9,213,243,18,72,17
7,7,0.9226177125061318,0.1,0.7,2.5542725173210163,433.0,718,50,355,32.547320491469925,5,300,5,0.9297619047619048,3.0,2.0,231.4,227,241,12,73,205
8,8,0.6120640896387488,0.1,0.7,2.0,419.0,713,50,72,153.88305359203986,5,300,5,0.9297619047619048,3.0,2.0,266.2,233,291,22,36,4
9,9,1.0789675323543328,0.1,0.7,2.0,286.0,708,50,2,31.271607189001035,5,300,5,0.9297619047619048,3.0,2.0,209.7,194,233,20,197,2
10,10,1.2694376494751316,0.1,0.7,,0.0,7,50,3,8.035475810607197,5,300,5,0.9297619047619048,3.0,2.0,5.9,6,7,2,7,5
11,11,0.6098752293068344,0.1,0.7,2.900262467191601,381.0,555,50,4,71.82330461710126,5,300,5,0.9297619047619048,3.0,2.0,244.3,214,285,30,97,4
12,12,0.8591674246379947,0.1,0.7,2.0,216.0,324,50,8,7.8914236980721295,5,300,5,0.9297619047619048,3.0,2.0,191.8,185,198,7,90,4
13,13,1.425942773823233,0.1,0.7,2.0,215.0,265,50,3,29.548004682422476,5,300,5,0.9297619047619048,3.0,2.0,189.2,158,219,23,34,1
14,14,0.7884401600793528,0.1,0.7,2.0,422.0,683,50,3,30.83894254969787,5,300,5,0.9297619047619048,3.0,2.0,463.0,434,485,23,200,0
15,15,0.6164361035641831,0.1,0.7,2.0,218.0,344,50,7,62.05034031891734,5,300,5,0.9297619047619048,3.0,2.0,308.9,294,328,13,96,2
16,16,1.3964828837891046,0.1,0.7,2.0,149.0,176,50,166,20.99694316444885,5,300,5,0.9297619047619048,3.0,2.0,144.3,115,159,18,45,124
17,17,1.1963745027816803,0.1,0.7,2.0,150.0,468,50,233,54.67424679437585,5,300,5,0.9297619047619048,3.0,2.0,266.5,213,280,16,87,256
18,18,1.068315450687208,0.1,0.7,2.0,189.0,241,50,190,49.76504633225174,5,300,5,0.9297619047619048,3.0,2.0,157.3,146,172,15,33,132
19,19,0.5196679817794422,0.1,0.7,2.0,272.0,472,50,7,16.543963113746113,5,300,5,0.9297619047619048,3.0,2.0,254.0,223,262,7,112,0
20,20,0.6997103882980414,0.1,0.7,2.0,442.0,591,50,205,31.477030272175632,5,300,5,0.9297619047619048,3.0,2.0,874.2,565,902,28,176,204
21,21,1.2933440070035058,0.1,0.7,2.0,276.0,600,50,3,67.77333279297156,5,300,5,0.9297619047619048,3.0,2.0,328.9,288,347,20,155,3
22,22,0.574255765510425,0.1,0.7,2.0,98.0,175,50,92,57.478708913685274,5,300,5,0.9297619047619048,3.0,2.0,209.0,132,230,22,95,129
23,23,0.996343889899607,0.1,0.7,2.257372654155496,373.0,537,50,13,67.21351562916573,5,300,5,0.9297619047619048,3.0,2.0,252.7,212,275,17,44,5
24,24,0.5987586668238216,0.1,0.7,2.0,188.0,249,50,3,27.487662963797984,5,300,5,0.9297619047619048,3.0,2.0,99.3,91,113,14,30,4
