,ID,speed,activity,G_proportion,G_size,G_duration,stayTime,population,stay_Ent,distance,enter_Interval,spaceArea,obstacles,FDD,aspectRatio,entrances,contact_sec,contact_AC,contact_IIC,contact_IDs,contact_NG,contact_Ent
0,0,0.9214029898860192,0.13,0.4,2.0,324.0,440,60,16,16.382878891739384,1,50,3,0.812,2.0,1.0,3089.5,434,3143,42,856,76
1,1,0.9127067705039363,0.13,0.4,3.0,202.0,323,60,8,10.298228353536654,1,50,3,0.812,2.0,1.0,3491.2,324,3551,53,1312,37
2,2,0.579506324370927,0.13,0.4,2.0,240.0,421,60,393,13.078751333004456,1,50,3,0.812,2.0,1.0,2722.3,422,2788,47,892,2589
3,3,0.8552906734454953,0.13,0.4,2.0,76.0,325,60,109,29.96776242355338,1,50,3,0.812,2.0,1.0,2953.4,326,3026,48,2234,1460
4,4,0.9715465837480952,0.13,0.4,2.6547008547008546,585.0,745,60,280,13.68074219601109,1,50,3,0.812,2.0,1.0,5036.4,720,5101,59,898,2926
5,5,0.8254365169340766,0.13,0.4,2.866952789699571,233.0,578,60,38,18.642860215427664,1,50,3,0.812,2.0,1.0,3554.3,578,3593,39,2154,186
6,6,0.6815307408486242,0.13,0.4,2.0,232.0,452,60,7,15.419955218996368,1,50,3,0.812,2.0,1.0,3093.8,450,3123,33,1259,44
7,7,0.564914867136991,0.13,0.4,2.0,229.0,387,60,380,10.79502545686515,1,50,3,0.812,2.0,1.0,2691.8,388,2730,44,781,2686
8,8,0.5987706217429646,0.13,0.4,,0.0,320,60,211,7.466787155069332,1,50,3,0.812,2.0,1.0,3182.2,321,3248,56,3248,2072
9,9,0.7353531952497856,0.13,0.4,2.0,119.0,326,60,208,14.597424588686797,1,50,3,0.812,2.0,1.0,2019.6,327,2077,57,1064,1091
10,10,1.4519548149051769,0.13,0.4,2.0,253.0,495,60,99,20.016399257819625,1,50,3,0.812,2.0,1.0,2845.7,496,2913,50,1611,529
11,11,1.48263571130616,0.13,0.4,2.0,228.0,326,60,4,19.75797451117569,1,50,3,0.812,2.0,1.0,1235.0,326,1270,38,399,43
12,12,0.7696183655591848,0.13,0.4,2.0,190.0,201,60,188,15.496788510810033,1,50,3,0.812,2.0,1.0,2457.1,202,2507,56,67,2439
13,13,1.2066387446707079,0.13,0.4,,0.0,243,60,243,7.6143074306761145,1,50,3,0.812,2.0,1.0,2049.2,244,2101,55,2101,2101
14,14,1.1660659722780258,0.13,0.4,2.6508875739644973,676.0,735,60,278,14.963194403298813,1,50,3,0.812,2.0,1.0,3993.6,736,4056,53,385,1160
15,15,0.6016056054637396,0.13,0.4,2.0,1.0,734,60,142,22.938254634490274,1,50,3,0.812,2.0,1.0,1879.2,452,1912,36,1903,253
16,16,1.369092962453702,0.13,0.4,2.0,325.0,522,60,44,19.637274442440784,1,50,3,0.812,2.0,1.0,1111.6,319,1194,50,539,483
17,17,1.2108771115125976,0.13,0.4,2.0,76.0,462,60,109,13.530657527067193,1,50,3,0.812,2.0,1.0,3021.1,309,3097,54,2340,894
18,18,0.6039115596992908,0.13,0.4,2.0,119.0,324,60,124,13.031152974117889,1,50,3,0.812,2.0,1.0,1444.9,314,1491,40,1220,301
19,19,0.6431945356701843,0.13,0.4,2.0,252.0,525,60,8,9.953983708413139,1,50,3,0.812,2.0,1.0,4172.9,526,4250,51,1281,51
20,20,1.3321635610656224,0.13,0.4,2.0,249.0,614,60,5,18.99464637174441,1,50,3,0.812,2.0,1.0,3202.5,546,3250,45,1554,37
21,21,1.3920969966485484,0.13,0.4,2.197952218430034,293.0,321,60,9,13.165962491497652,1,50,3,0.812,2.0,1.0,3786.2,321,3846,49,347,88
22,22,1.2107338339394431,0.13,0.4,,0.0,323,60,5,11.048482460745738,1,50,3,0.812,2.0,1.0,3327.4,324,3375,47,3375,56
23,23,1.255781528038999,0.13,0.4,2.0,251.0,325,60,5,16.174304566856193,1,50,3,0.812,2.0,1.0,2296.3,325,2349,45,495,49
24,24,1.1735156059596084,0.13,0.4,,0.0,324,60,4,18.72906536792344,1,50,3,0.812,2.0,1.0,2823.6,325,2867,41,2867,45
25,25,0.8734225338503196,0.13,0.4,2.0,90.0,700,60,310,14.747792583097468,1,50,3,0.812,2.0,1.0,4286.0,663,4362,55,4179,3133
26,26,1.0051382318056121,0.13,0.4,,0.0,71,60,4,14.262998567146209,1,50,3,0.812,2.0,1.0,476.6,72,514,36,514,56
27,27,0.7374818847097584,0.13,0.4,,0.0,31,60,7,12.03944300894049,1,50,3,0.812,2.0,1.0,292.3,32,332,40,332,70
28,28,0.5690570629595523,0.13,0.4,2.0,200.0,465,60,8,16.008471451905322,1,50,3,0.812,2.0,1.0,3542.7,466,3604,52,2706,74
29,29,0.6627424790522579,0.13,0.4,2.0,233.0,720,60,462,22.6585594065068,1,50,3,0.812,2.0,1.0,4898.7,720,4989,57,2331,3987
30,30,0.7579009020295043,0.13,0.4,,0.0,145,60,120,14.548963670058578,1,50,3,0.812,2.0,1.0,689.0,146,735,44,735,490
31,31,1.4473966686118314,0.13,0.4,,0.0,320,60,320,2.3378655256252547,1,50,3,0.812,2.0,1.0,3363.5,321,3401,53,3401,3401
32,32,1.4942065348001599,0.13,0.4,,0.0,15,60,3,14.583941664783445,1,50,3,0.812,2.0,1.0,150.2,16,192,35,192,62
33,33,1.4872312705155877,0.13,0.4,2.0,209.0,213,60,208,10.42820376408727,1,50,3,0.812,2.0,1.0,2419.3,214,2464,52,65,2388
34,34,0.912061811990293,0.13,0.4,2.0,258.0,327,60,6,20.973454933431732,1,50,3,0.812,2.0,1.0,2888.6,328,2947,48,596,55
35,35,0.9376808270918784,0.13,0.4,2.0,352.0,687,60,87,14.775542278719415,1,50,3,0.812,2.0,1.0,4110.2,688,4164,43,2659,235
36,36,0.925478662232766,0.13,0.4,2.0,257.0,622,60,19,13.761209615723013,1,50,3,0.812,2.0,1.0,1847.2,568,1897,45,683,141
37,37,0.8107515300836132,0.13,0.4,2.0,209.0,252,60,210,2.5943440455560465,1,50,3,0.812,2.0,1.0,2542.0,211,2568,42,16,2568
38,38,0.9428219840799462,0.13,0.4,,0.0,200,60,200,3.8787437387120374,1,50,3,0.812,2.0,1.0,947.6,201,962,23,962,962
39,39,1.2905580722799639,0.13,0.4,2.0,266.0,710,60,2,10.532141374192651,1,50,3,0.812,2.0,1.0,4088.0,711,4139,44,2438,39
40,40,1.1178685709731853,0.13,0.4,2.1835443037974684,316.0,321,60,319,12.736483361279767,1,50,3,0.812,2.0,1.0,1596.1,321,1637,41,52,1622
41,41,0.592490114657593,0.13,0.4,2.0,265.0,675,60,7,13.383496835768515,1,50,3,0.812,2.0,1.0,3611.8,652,3673,50,2651,76
42,42,0.5026408527937225,0.13,0.4,2.810725552050473,317.0,589,60,532,5.884834177991268,1,50,3,0.812,2.0,1.0,4372.5,590,4429,56,2744,4297
43,43,1.2024082947686277,0.13,0.4,,0.0,324,60,102,14.1684289031898,1,50,3,0.812,2.0,1.0,2652.5,325,2704,48,2704,789
44,44,0.5455848039687157,0.13,0.4,,0.0,455,60,10,15.579377398367614,1,50,3,0.812,2.0,1.0,2610.2,456,2653,35,2653,72
45,45,1.3615409513971808,0.13,0.4,2.0,41.0,243,60,3,10.703374333515052,1,50,3,0.812,2.0,1.0,2377.7,244,2425,45,1890,53
46,46,0.7774969031359571,0.13,0.4,2.0,14.0,238,60,4,14.026619558525546,1,50,3,0.812,2.0,1.0,2390.4,239,2450,50,2317,71
47,47,1.0364369853191064,0.13,0.4,2.7532467532467533,77.0,312,60,76,12.946724972889676,1,50,3,0.812,2.0,1.0,3220.1,313,3280,48,2700,582
48,48,0.7140116554790704,0.13,0.4,,0.0,633,60,593,12.798133845454446,1,50,3,0.812,2.0,1.0,5015.8,634,5071,57,5071,4951
49,49,0.613176047943683,0.13,0.4,2.0,252.0,662,60,12,17.702719110414545,1,50,3,0.812,2.0,1.0,3977.6,661,4027,46,1715,133
50,50,1.4212866840890623,0.13,0.4,2.0,261.0,699,60,256,9.79710132531735,1,50,3,0.812,2.0,1.0,2163.6,699,2196,39,1515,1180
51,51,1.266204922582322,0.13,0.4,3.0,439.0,698,60,458,10.695945604271948,1,50,3,0.812,2.0,1.0,4214.5,663,4281,45,2826,1583
52,52,1.359659401995155,0.13,0.4,2.03125,32.0,532,60,455,19.251951317721396,1,50,3,0.812,2.0,1.0,2867.6,531,2930,46,2886,2297
53,53,1.2977397422205348,0.13,0.4,2.0,14.0,345,60,4,19.15811864449516,1,50,3,0.812,2.0,1.0,1796.7,228,1851,47,1699,46
54,54,0.5013054862630761,0.13,0.4,2.0,41.0,695,60,102,28.42913100068005,1,50,3,0.812,2.0,1.0,2372.1,451,2462,54,2068,668
