,ID,speed,activity,G_proportion,G_size,G_duration,stayTime,population,stay_Ent,distance,enter_Interval,spaceArea,obstacles,FDD,aspectRatio,entrances,contact_sec,contact_AC,contact_IIC,contact_IDs,contact_NG,contact_Ent
0,0,0.8535677351865949,0.07,0.4,,0.0,749,90,2,61.62022822397545,5,300,18,0.9572727272727273,3.0,2.0,1210.9,624,1246,34,1246,2
1,1,1.3917825952642933,0.07,0.4,2.007782101167315,257.0,748,90,274,36.849644980674064,5,300,18,0.9572727272727273,3.0,2.0,1372.0,651,1442,38,934,493
2,2,0.636780667348991,0.07,0.4,2.0,139.0,234,90,8,46.457689230684984,5,300,18,0.9572727272727273,3.0,2.0,289.0,162,317,27,94,8
3,3,0.6456989201601572,0.07,0.4,2.421658986175115,434.0,738,90,348,25.332425467178133,5,300,18,0.9572727272727273,3.0,2.0,1245.6,651,1283,47,375,442
4,4,0.7974633104749443,0.07,0.4,2.003610108303249,277.0,330,90,5,27.55987339636317,5,300,18,0.9572727272727273,3.0,2.0,83.8,78,97,15,34,6
5,5,0.7082374211323111,0.07,0.4,2.0,275.0,728,90,161,28.271174160405838,5,300,18,0.9572727272727273,3.0,2.0,903.0,385,966,47,835,5
6,6,1.3475291184344642,0.07,0.4,2.0,118.0,255,90,4,30.288679545857093,5,300,18,0.9572727272727273,3.0,2.0,233.0,201,259,26,127,13
7,7,1.0203901517767753,0.07,0.4,2.0,250.0,336,90,5,35.1398693124737,5,300,18,0.9572727272727273,3.0,2.0,206.9,187,224,19,107,10
8,8,0.5988124924374462,0.07,0.4,,0.0,46,90,7,27.54537465212262,5,300,18,0.9572727272727273,3.0,2.0,17.4,16,22,7,22,7
9,9,1.4483579834029785,0.07,0.4,2.0,238.0,708,90,1,62.42165508517548,5,300,18,0.9572727272727273,3.0,2.0,1306.3,639,1391,66,996,2
10,10,1.380867336217016,0.07,0.4,,0.0,163,90,5,32.09527243023413,5,300,18,0.9572727272727273,3.0,2.0,149.4,122,168,22,168,5
11,11,0.5830611934215753,0.07,0.4,2.0,249.0,508,90,6,34.14724822394893,5,300,18,0.9572727272727273,3.0,2.0,796.0,283,833,33,251,7
12,12,1.0081441496480108,0.07,0.4,2.0,139.0,324,90,5,25.499560099448537,5,300,18,0.9572727272727273,3.0,2.0,285.2,163,293,10,265,7
13,13,1.081762887547442,0.07,0.4,2.0,237.0,356,90,295,54.25470689710309,5,300,18,0.9572727272727273,3.0,2.0,573.2,310,625,56,213,513
14,14,0.5940013361259749,0.07,0.4,2.0,1.0,326,90,9,22.282294105518375,5,300,18,0.9572727272727273,3.0,2.0,24.1,15,29,6,28,18
15,15,0.9159051042754314,0.07,0.4,2.0,133.0,341,90,6,55.687076094360386,5,300,18,0.9572727272727273,3.0,2.0,301.1,176,341,35,93,10
16,16,1.314006541225232,0.07,0.4,2.6435185185185186,216.0,673,90,1,45.61994128219197,5,300,18,0.9572727272727273,3.0,2.0,606.5,455,629,21,387,0
17,17,0.5904932135204014,0.07,0.4,,0.0,88,90,9,9.140720130868036,5,300,18,0.9572727272727273,3.0,2.0,50.0,50,54,5,54,4
18,18,1.0493106648605475,0.07,0.4,2.0,266.0,663,90,229,39.51886324599592,5,300,18,0.9572727272727273,3.0,2.0,992.7,530,1006,14,351,191
19,19,1.0707645514931738,0.07,0.4,2.0,73.0,275,90,74,56.68092542529958,5,300,18,0.9572727272727273,3.0,2.0,590.0,257,631,41,441,196
20,20,0.8054853458405471,0.07,0.4,2.0,251.0,595,90,3,39.89561802303082,5,300,18,0.9572727272727273,3.0,2.0,691.7,371,730,33,529,0
21,21,1.0848035337643458,0.07,0.4,2.0,12.0,47,90,2,49.39050495753352,5,300,18,0.9572727272727273,3.0,2.0,20.7,22,29,9,26,2
22,22,1.335204394390851,0.07,0.4,2.0,143.0,263,90,141,46.682495767676166,5,300,18,0.9572727272727273,3.0,2.0,498.0,202,545,48,118,426
23,23,0.5731451743106295,0.07,0.4,3.0,138.0,331,90,6,29.057642334274647,5,300,18,0.9572727272727273,3.0,2.0,652.3,277,687,35,296,16
24,24,0.7846849065513193,0.07,0.4,2.0,33.0,391,90,5,66.51591451346104,5,300,18,0.9572727272727273,3.0,2.0,608.1,297,661,44,592,17
